2021-09-02 09:19:45.240 INFO  io.lettuce.core.protocol.CommandHandler Line:217 - null Unexpected exception during request: java.io.IOException: 远程主机强迫关闭了一个现有的连接。
java.io.IOException: 远程主机强迫关闭了一个现有的连接。
	at sun.nio.ch.SocketDispatcher.read0(Native Method)
	at sun.nio.ch.SocketDispatcher.read(SocketDispatcher.java:43)
	at sun.nio.ch.IOUtil.readIntoNativeBuffer(IOUtil.java:223)
	at sun.nio.ch.IOUtil.read(IOUtil.java:192)
	at sun.nio.ch.SocketChannelImpl.read(SocketChannelImpl.java:379)
	at io.netty.buffer.PooledByteBuf.setBytes(PooledByteBuf.java:253)
	at io.netty.buffer.AbstractByteBuf.writeBytes(AbstractByteBuf.java:1132)
	at io.netty.channel.socket.nio.NioSocketChannel.doReadBytes(NioSocketChannel.java:350)
	at io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:151)
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:719)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:655)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:581)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:493)
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:989)
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:748)
2021-09-02 09:45:42.889 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:46:22.991 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:47:03.086 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:47:43.190 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:48:23.293 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:49:03.394 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:49:43.496 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:50:23.590 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:51:03.695 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:51:43.788 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
2021-09-02 09:52:23.886 INFO  io.lettuce.core.protocol.ConnectionWatchdog Line:171 - Reconnecting, last destination was 192.168.199.211:6379
